buyer_id,name,phone,email,region,created_at
LAZC00000001,Chan Mei Ling,+60142181960,chan105@gmail.com,Johor,2025-05-04 22:41:56
LAZC00000002,Abdul Farid bin Hakim,+60183794026,abdul294@hotmail.com,Penang,2024-10-11 20:29:23
LAZC00000003,Md Hafiz bin Haziq,+60125594078,md954@gmail.com,Negeri Sembilan,2024-09-08 07:55:34
LAZC00000004,Siti Lina binti Azman,+60141034131,siti294@outlook.com,Perak,2025-06-13 14:33:38
LAZC00000005,Chong Qian Yi,+60144192832,chong398@outlook.com,Sabah,2024-12-14 10:16:05
LAZC00000006,Divya A/P Raj,+60170305641,divya945@yahoo.com,Kedah,2024-12-02 17:22:00
LAZC00000007,Ajay A/L Hari,+60187242388,ajay774@hotmail.com,Kedah,2024-11-24 07:17:02
LAZC00000008,Chong Mei Ling,+60138710122,chong620@outlook.com,Selangor,2024-10-22 19:23:48
LAZC00000009,Ong Yue Ying,+60168018451,ong455@hotmail.com,Penang,2025-06-11 15:13:06
LAZC00000010,Cheah Jing Yi,+60168281489,cheah166@yahoo.com,Sarawak,2024-10-08 10:08:00
LAZC00000011,Rekha A/P Prakash,+60119570154,rekha69@yahoo.com,Johor,2025-05-19 10:06:19
LAZC00000012,Lakshmi A/P Deepak,+60191822782,lakshmi550@hotmail.com,Perlis,2025-06-13 06:19:58
LAZC00000013,Cheah Yue Ying,+60144657871,cheah240@yahoo.com,Selangor,2025-08-11 02:31:31
LAZC00000014,Wong Chen Wei,+60140103105,wong536@gmail.com,Johor,2025-03-29 09:59:37
LAZC00000015,Siti Siti binti Hakim,+60193763116,siti443@hotmail.com,Negeri Sembilan,2024-10-02 09:08:16
LAZC00000016,Teo Fang Ying,+60120651333,teo153@outlook.com,Negeri Sembilan,2025-04-15 22:35:53
LAZC00000017,Ain Nadia binti Fikri,+60120801326,ain502@outlook.com,Johor,2025-02-09 11:24:20
LAZC00000018,Priya A/P Mani,+60116474687,priya204@yahoo.com,Sabah,2024-09-10 23:02:42
LAZC00000019,Siti Aisyah binti Hakim,+60170097882,siti993@gmail.com,Pahang,2024-09-10 04:32:21
LAZC00000020,Siti Nurul binti Irfan,+60146193990,siti439@gmail.com,Kelantan,2024-10-05 00:06:43
LAZC00000021,Cheah Jia Hui,+60145346247,cheah961@hotmail.com,Melaka,2024-11-22 12:39:46
LAZC00000022,Ramesh A/L Ramesh,+60121838425,ramesh910@gmail.com,Johor,2024-11-27 23:21:57
LAZC00000023,Ho Yue Ying,+60169808412,ho128@hotmail.com,Selangor,2025-03-13 21:03:42
LAZC00000024,Vijay A/L Ramesh,+60145348740,vijay659@gmail.com,Negeri Sembilan,2025-04-20 10:01:49
LAZC00000025,Suresh A/L Anil,+60134278680,suresh87@gmail.com,Terengganu,2024-09-08 22:08:32
